titulo,empresa,ubicacion,modalidad_fecha,salario
Desarrollador/a RPA - Blue Prism,Arelance,100% remoto,- 05/01/2026,24.000€ - 30.000€ b/a
java,05/01/2026,Nueva,100% remoto,24.000€ - 30.000€ b/a
Desarrollador Java Microservicios/Angular,Grupo NS,Madrid,(Híbrido) - 05/01/2026,36.000€ - 39.000€ b/a
Desarrollador Web,Desarrollador PHP,Codicert,Malta,36.000€ - 36.000€ b/a
Desarrollador Web,Desarrollador/a Java (Microservicios),Tuyú Technology,Madrid,27.000€ - 33.000€ b/a
Analista Programador,Desarrollador BMC HELIX,Baoss,Madrid,30.000€ - 45.000€ b/a
Desarrollador Web,Desarrollador IAM con Java/Angular,PSS,100% remoto,39.000€ - 42.000€ b/a
Java,Angular,17/12/2025,100% remoto,39.000€ - 42.000€ b/a
Analista Programador,Desarrollador Fullstack Java/Angular,Arelance,Madrid,27.000€ - 30.000€ b/a
Desarrollador Web,Desarrollador Full Stack (Java y React),PSS,100% remoto,27.000€ - 30.000€ b/a
Javascritp,React,08/12/2025,100% remoto,27.000€ - 30.000€ b/a
